Date,Open,Adj Close,Returns,Range,MA_12,MA_21,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exp,lrets_strat,lrets_prod,strat_prod_exp
2019-01-02,245.97999572753906,231.49224853515625,0.0010404275518518524,0.02138650063383385,229.71491622924805,237.17334057035902,2,0.0,0,0.0,0.0010398866822311208,0.0010398866822311208,0.0010404275518518524,0.0,0.0,0.0
2019-01-03,248.22999572753906,225.96815490722656,-0.023862974518089608,0.020109201756861594,228.57773462931314,235.8585466657366,3,0.0,0,0.0,-0.024152307462521005,-0.023112420780289883,-0.022847374662395503,-0.0,0.0,0.0
2019-01-04,247.58999633789062,233.53717041015625,0.03349593886818791,0.024032052779100477,228.46304194132486,234.7442874000186,3,0.0,0,0.0,0.032947170638194655,0.009834749857904772,0.009883269940802242,0.0,0.0,0.0
2019-01-07,252.69000244140625,235.37852478027344,0.007884630814372073,0.016925561069227157,228.52325948079428,234.1141575404576,2,0.0,0,0.0,0.007853709541698128,0.0176884593996029,0.017845826689896205,0.0,0.0,0.0
2019-01-08,256.82000732421875,237.58998107910156,0.00939531888430567,0.013031486451156482,229.06061299641928,233.60729399181548,1,0.0,1,0.0,0.009351457390293277,0.027039916789896177,0.027408812806707594,0.0,0.0,0.0
2019-01-09,257.55999755859375,238.7003173828125,0.004673329652487679,0.01061712476982879,230.00403467814127,233.42796906970796,1,0.0,1,0.0,0.004662443550520363,0.03170236034041654,0.03221023287682434,-0.0,0.0,0.0
2019-01-10,256.260009765625,239.54238891601562,0.003527735289319489,0.014324867562071963,231.40586853027344,233.26683989025298,1,0.0,1,0.0,0.0035215274266971355,0.035223887767113674,0.03585159734134069,0.0,0.0,0.0
2019-01-11,257.67999267578125,239.63491821289062,0.0003862752529675273,0.007703423708250945,233.3058293660482,233.10748872302827,1,1.0,1,0.0,0.00038620066788829513,0.03561008843500197,0.03625172117914044,-0.0,0.0,0.0
2019-01-14,256.8599853515625,238.1729278564453,-0.006100907027023816,0.007370945376023341,234.17098999023438,232.82025727771577,1,1.0,1,1.0,-0.006119593602439875,0.029490494832562095,0.02992964577163315,0.0037305630671923204,0.0037305630671923204,0.0037375302787714393
2019-01-15,257.82000732421875,240.90260314941406,0.011460896574332802,0.011209862595730646,235.1178855895996,232.66695149739584,1,1.0,1,1.0,0.011395718029485753,0.04088621286204785,0.041733562920660994,0.011607107207809848,0.015337670275002168,0.01545589600213293
2019-01-16,260.8299865722656,241.4855194091797,0.0024197175628031253,0.005257080142367032,236.13803354899088,232.7560555594308,1,1.0,1,1.0,0.002416794760216255,0.043303007622264106,0.04425426391862164,-0.003148673258018597,0.01218899701698357,0.01226358558633045
2019-01-17,260.010009765625,243.31753540039062,0.007586442432213625,0.015233197810519794,237.14352416992188,233.156248546782,1,1.0,1,1.0,0.007557810098344857,0.050860817720608964,0.05217643877643385,0.018934263527933183,0.031123260544916754,0.03161265318789064
2019-01-18,264.9800109863281,246.55616760253906,0.013310311551607334,0.01513312162101954,238.39885075887045,233.7229272751581,1,1.0,1,1.0,0.013222507628397955,0.06408332534900692,0.0661812349838089,-0.0006040153319895215,0.030519245212927232,0.030989731474762028
2019-01-22,264.82000732421875,243.2250518798828,-0.013510575521380463,0.015322148308464012,239.8369255065918,234.29832313174293,2,1.0,0,1.0,-0.013602673821612942,0.05048065152739398,0.05177651288908147,-0.0030633593625441144,0.027455885850383117,0.027836271984039485
2019-01-23,264.010009765625,243.73397827148438,0.0020924094276806304,0.01584441350720689,240.6866594950358,235.07711937313988,2,1.0,0,0.0,0.0020902233879364312,0.052570874915330405,0.05397725998046354,-0.0,0.027455885850383117,0.027836271984039485
